"","StartDate","EndDate","condition","LibCon","WhtDis_comp","LibID","LibDis_comp"
"173","4/17/2019 12:41:49","4/17/2019 12:45:39","Actual threat",2,2.11111111111111,2,5.25
"174","4/17/2019 13:45:19","4/17/2019 13:48:18","Actual threat",5,4.20833333333333,4,3.38888888888889
"175","4/17/2019 12:27:28","4/17/2019 12:35:31","Actual threat",3,3.41666666666667,1.5,5.80555555555556
"176","4/17/2019 13:57:18","4/17/2019 14:06:13","Actual threat",5,2.375,5,2.58333333333333
"177","4/17/2019 12:41:49","4/17/2019 12:47:34","Actual threat",5,3,2,5.63888888888889
"178","4/17/2019 13:18:18","4/17/2019 13:46:45","Actual threat",2,4.5,1.25,6.15277777777778
"179","4/17/2019 12:26:02","4/17/2019 12:32:01","Actual threat",8,2.76388888888889,6.5,1.58333333333333
"180","4/17/2019 12:22:20","4/17/2019 12:25:33","Actual threat",6,2,6,2
"181","4/17/2019 12:27:26","4/17/2019 12:37:17","Actual threat",1,1.48611111111111,1,6.72222222222222
"182","4/17/2019 14:15:33","4/17/2019 14:23:56","Actual threat",2,1.88888888888889,1,6.66666666666667
"183","4/17/2019 12:28:47","4/17/2019 12:34:58","Actual threat",3,1.41666666666667,1.5,5.75
"184","4/17/2019 15:53:11","4/17/2019 15:58:13","Actual threat",5,1.66666666666667,3.75,4.47222222222222
"185","4/17/2019 12:56:57","4/17/2019 13:00:28","Actual threat",7,1.25,6.5,1.58333333333333
"186","4/17/2019 13:01:18","4/17/2019 13:06:19","Actual threat",2,2.44444444444444,1,7
"187","4/17/2019 12:24:47","4/17/2019 12:30:36","Actual threat",4,4.22222222222222,2,5
"188","4/17/2019 13:02:07","4/17/2019 13:06:45","Actual threat",5,2.83333333333333,4.5,3
"189","4/17/2019 14:09:44","4/17/2019 14:14:12","Actual threat",4,2.83333333333333,4.25,2.80555555555556
"190","4/17/2019 12:23:21","4/17/2019 12:28:11","Actual threat",6,3.11111111111111,5.25,2.98611111111111
"191","4/17/2019 13:08:16","4/17/2019 13:19:08","Actual threat",7,3.63888888888889,4.75,2.73611111111111
"192","4/17/2019 12:44:41","4/17/2019 12:48:20","Actual threat",7,5.27777777777778,5.5,2.02777777777778
"193","4/17/2019 14:17:23","4/17/2019 14:22:40","Actual threat",8,5.08333333333333,4.5,2.52777777777778
"194","4/17/2019 13:22:52","4/17/2019 13:30:34","Actual threat",7,3.44444444444444,5,2.5
"195","4/17/2019 12:22:06","4/17/2019 12:36:41","Actual threat",7,3.08333333333333,5.75,2.18055555555556
"196","4/17/2019 12:25:44","4/17/2019 12:34:46","Actual threat",1,1.52777777777778,1.25,6.48611111111111
"197","4/17/2019 12:34:03","4/17/2019 12:48:44","Actual threat",2,2.08333333333333,3.5,4.38888888888889
"198","4/17/2019 12:22:40","4/17/2019 12:27:56","Actual threat",7,3.47222222222222,5.5,3.36111111111111
"199","4/17/2019 12:37:01","4/17/2019 12:55:44","Actual threat",2,2.31944444444444,1.75,5.56944444444444
"200","4/17/2019 12:25:14","4/17/2019 12:37:14","Actual threat",1,3.69444444444444,1.5,5.91666666666667
"201","4/17/2019 12:24:11","4/17/2019 12:28:52","Actual threat",8,2.66666666666667,5,2.55555555555556
"202","4/17/2019 12:38:13","4/17/2019 13:23:43","Actual threat",4,3.25,3.75,3.91666666666667
"203","4/17/2019 14:13:38","4/17/2019 14:27:34","Actual threat",4,2.27777777777778,1,6.44444444444444
"204","4/17/2019 13:16:23","4/17/2019 13:32:12","Actual threat",2,4,2.5,6.75
"205","4/17/2019 12:26:03","4/17/2019 12:35:39","Actual threat",5,5,6,1.88888888888889
"206","4/17/2019 12:23:58","4/17/2019 12:30:47","Actual threat",8,2.88888888888889,6,1.88888888888889
"207","4/17/2019 12:36:58","4/17/2019 12:44:03","Actual threat",5,3.38888888888889,2.25,4.31944444444444
"208","4/17/2019 12:23:53","4/17/2019 12:27:50","Actual threat",7,4.97222222222222,5.75,2.125
"209","4/17/2019 12:31:57","4/17/2019 12:38:56","Actual threat",5,4.11111111111111,4.25,4.05555555555556
"210","4/17/2019 13:50:51","4/17/2019 13:54:03","Actual threat",7,1.66666666666667,6,1.66666666666667
"211","4/17/2019 12:44:21","4/17/2019 12:50:49","Actual threat",7,4.22222222222222,3,4.88888888888889
"212","4/17/2019 12:30:40","4/17/2019 12:38:26","Actual threat",4,1.84722222222222,3,4.5
"213","4/17/2019 14:00:27","4/17/2019 14:19:40","Actual threat",7,2.41666666666667,5,2.11111111111111
"214","4/17/2019 14:47:57","4/17/2019 14:52:48","Actual threat",8,5.88888888888889,7,1
"215","4/17/2019 12:59:50","4/17/2019 13:04:52","Actual threat",2,2.06944444444444,2,5.5
"216","4/17/2019 12:26:00","4/17/2019 12:29:45","Actual threat",3,4,2.5,5.61111111111111
