"","LibCon","condition","PolicySupport","IndivAction","TrumpProto","WhtDis_comp"
"246",5,"Control",4.125,5.25,4,4.75
"247",5,"Control",3.75,4.25,1,4.39583333333333
"248",5,"Control",5.45833333333333,4.2,1,4.25
"249",5,"Control",2.625,3.6,2.33333333333333,3.5625
"250",6,"Control",5.875,4.4,1,2.52083333333333
"251",5,"Control",3.5,3,3,3.16666666666667
"252",7,"Control",4.875,5.6,3,5.52083333333333
"253",5,"Control",4.20833333333333,6.4,3.33333333333333,2.5
"254",2,"Control",3,4.2,6,1.83333333333333
"255",2,"Control",2.375,1.2,5.33333333333333,1.64583333333333
"256",3,"Control",2.125,4.4,4,3.41666666666667
"257",8,"Control",6,5.6,4.66666666666667,5.16666666666667
"258",5,"Control",4.5,4.4,3.33333333333333,2.66666666666667
"259",4,"Control",1,3.4,2,1
"260",2,"Control",2.75,5.2,5.33333333333333,2.41666666666667
"261",4,"Control",5.125,4.6,2.33333333333333,3.375
"262",4,"Control",4.5,3.6,4,2.41666666666667
"263",1,"Control",4.16666666666667,4.75,3,5.25
"264",8,"Control",5.125,6.8,4,5.75
"265",5,"Control",3.83333333333333,4.75,4,3.875
"266",6,"Control",3.83333333333333,3.4,3.33333333333333,3.95833333333333
"267",7,"Control",3.875,3.8,2.33333333333333,3.58333333333333
"268",6,"Control",5.33333333333333,4.8,2,2.25
"269",1,"Control",1.125,3.5,7,1
"270",2,"Control",1.75,4.6,6.33333333333333,1.91666666666667
"271",4,"Control",3.75,3.6,4,4.33333333333333
"272",4,"Control",3.375,4.4,5,2.75
"273",7,"Control",6.25,6.4,5,5.25
"274",6,"Control",4.75,5.4,1.66666666666667,4.77083333333333
"275",8,"Control",4.875,5.75,1,5.33333333333333
"276",7,"Control",6.5,6.6,2,4.875
"277",5,"Control",3.875,6,2,2
"278",5,"Control",3.75,5,3.33333333333333,4.25
"279",2,"Control",2.625,3.8,5,1.95833333333333
"280",3,"Control",1.625,4.4,3.33333333333333,3.45833333333333
"281",6,"Control",3.75,3.8,4,3.75
"282",4,"Control",6.5,6.4,5,1.75
"283",4,"Control",1,3.2,4.5,3.58333333333333
"284",3,"Control",4.58333333333333,4.8,3.66666666666667,4.04166666666667
"285",4,"Control",1,3.6,2,1.0625
"286",4,"Control",1.5,4.2,3.33333333333333,2.39583333333333
"287",3,"Control",1.625,2.4,1.33333333333333,2.1875
"288",6,"Control",2.75,6,1.66666666666667,4.0625
"289",5,"Control",3.66666666666667,5.4,3,3.66666666666667
"290",5,"Control",2.625,5,2.66666666666667,3.91666666666667
"291",3,"Control",6.125,5.4,6.33333333333333,1.16666666666667
"292",5,"Control",3.16666666666667,5,1.33333333333333,4.8125
"293",6,"Control",4.75,6,2,3.5
"294",8,"Control",5.875,5.6,1,5.35416666666667
"295",4,"Control",1.25,3.2,4,1.29166666666667
"296",4,"Control",NA,NA,NA,NA
"297",3,"Control",3.875,4.8,2,2.5
"298",6,"Control",4.16666666666667,5.2,4.33333333333333,5.41666666666667
"299",7,"Control",6,6.6,1,1.5
"300",7,"Control",3.70833333333333,4.5,2,3.5
"301",7,"Control",6.375,6.2,3.66666666666667,4.04166666666667
"302",5,"Actual threat",4.25,4.5,1,1.5
"303",1,"Actual threat",5,5.4,5.33333333333333,1.83333333333333
"304",4,"Actual threat",3.83333333333333,4,3,2
"305",7,"Actual threat",6,5.8,3,2.39583333333333
"306",7,"Actual threat",5.125,5.2,2,4.5
"307",6,"Actual threat",3.875,5.5,2.33333333333333,4.5
"308",6,"Actual threat",5.375,6,2,3.29166666666667
"309",7,"Actual threat",6.25,6,1.33333333333333,2
"310",2,"Actual threat",2.5,4.6,6,2.29166666666667
"311",4,"Actual threat",3.875,4.8,1,1.72916666666667
"312",7,"Actual threat",3.75,4.25,1,3.70833333333333
"313",4,"Actual threat",2.5,1.6,4,1.47916666666667
"314",3,"Actual threat",4.04166666666667,3.2,2.66666666666667,2.75
"315",2,"Actual threat",3.875,4.2,4.5,2.5625
"316",7,"Actual threat",6.375,5.6,1.66666666666667,3.33333333333333
"317",8,"Actual threat",6.25,7,1,5
"318",3,"Actual threat",1.125,3,6.5,2.58333333333333
"319",2,"Actual threat",2,3.2,6,2.52083333333333
"320",7,"Actual threat",6.25,7,1,4.6875
"321",3,"Actual threat",2.54166666666667,4.75,2.5,1
"322",3,"Actual threat",1.625,2.4,5,2.41666666666667
"323",2,"Actual threat",3.25,5.2,2,2.625
"324",5,"Actual threat",3.75,5.75,1,3.25
"325",8,"Actual threat",5.75,7,1,1.58333333333333
"326",7,"Actual threat",4.04166666666667,5.2,1,2.58333333333333
"327",8,"Actual threat",6.625,6.4,1,3.875
"328",5,"Actual threat",3.66666666666667,4,5,1.72916666666667
"329",6,"Actual threat",4.125,4.4,2,3.08333333333333
"330",5,"Actual threat",1.125,4.2,5,1.29166666666667
"331",8,"Actual threat",7,7,1,6.91666666666667
"332",7,"Actual threat",6.125,6.2,1,3.91666666666667
"333",7,"Actual threat",6.875,6.4,1,2.97916666666667
"334",2,"Actual threat",3.91666666666667,5.4,5,2.25
"335",7,"Actual threat",5.25,5.75,1.66666666666667,2.58333333333333
"336",8,"Actual threat",6.625,6.8,1,4.52083333333333
"337",1,"Actual threat",1.875,2.2,6,1.6875
"338",2,"Actual threat",1.25,3,4.66666666666667,1.97916666666667
"339",2,"Actual threat",1,3.8,7,1
"340",5,"Actual threat",4.875,4.8,2,2.70833333333333
"341",7,"Actual threat",5.375,5.8,1.66666666666667,3.58333333333333
"342",7,"Actual threat",2.875,3.8,2,3.08333333333333
"343",8,"Actual threat",6.25,6.25,1,5
"344",7,"Actual threat",6.125,6.4,1.33333333333333,2.16666666666667
"345",5,"Actual threat",1.5,5.4,4.33333333333333,2.5
"346",7,"Actual threat",6.625,6.2,1,2.75
"347",8,"Actual threat",6,6,1,3.5
"348",6,"Actual threat",5.875,5.8,2,4.625
"349",5,"Actual threat",2.75,3.8,2.66666666666667,2
"350",8,"Actual threat",7,6.8,2,4.875
"351",6,"Actual threat",1.75,5,1,1.20833333333333
"352",5,"Actual threat",4.75,5,2.66666666666667,2.83333333333333
"353",4,"Actual threat",2.83333333333333,4,3,2.75
"354",8,"Actual threat",6.125,6.6,1,6
"355",5,"Actual threat",3.75,5.25,1.66666666666667,3.875
"356",6,"Actual threat",4.875,6.2,2.33333333333333,4.20833333333333
"357",2,"Actual threat",1,1.8,6,1.29166666666667
"358",2,"Actual threat",2,3.4,6,2.58333333333333
"359",4,"Actual threat",3.625,4.4,1.5,3.54166666666667
"360",2,"Actual threat",2.875,3.8,6,1.20833333333333
"361",3,"Actual threat",4.875,4.8,2,3.83333333333333
"362",5,"Actual threat",3.625,4.75,2,2.14583333333333
"363",7,"Actual threat",6,6.6,1.33333333333333,4.72916666666667
"364",6,"Actual threat",3.875,5.8,1.33333333333333,2.70833333333333
"365",3,"Actual threat",6,5.8,1.66666666666667,2.08333333333333
"366",2,"Actual threat",4,3.25,4,3.10416666666667
"367",4,"Actual threat",4.95833333333333,4.5,1,2.75
"368",2,"Actual threat",1.125,3.6,5.66666666666667,2.08333333333333
"369",5,"Actual threat",3.83333333333333,2.5,1.66666666666667,2.91666666666667
"370",8,"Actual threat",5.125,6,1,4.33333333333333
"371",4,"Actual threat",6.125,5.2,1,2.41666666666667
"372",5,"Actual threat",4.16666666666667,4.8,3.66666666666667,4.5
"373",7,"Actual threat",6.375,7,1,4.04166666666667
"374",2,"Actual threat",2.25,5.6,6,1
"375",4,"Actual threat",3,5.4,2,2.83333333333333
"376",2,"Actual threat",1.5,4.6,5.33333333333333,1.5
"377",7,"Actual threat",5.625,6.4,2,4.79166666666667
"378",1,"Actual threat",1,2.2,7,1.97916666666667
"379",4,"Actual threat",2,1.8,3,1.4375
"380",4,"Actual threat",3.375,4.4,4,2.83333333333333
"381",5,"Actual threat",4.625,6,1.33333333333333,3.875
"382",5,"Actual threat",4.66666666666667,6.4,4.66666666666667,5.33333333333333
"383",2,"Actual threat",2.375,4.6,5.66666666666667,2.58333333333333
"384",2,"Actual threat",2.625,4.2,5.33333333333333,2.16666666666667
"385",5,"Actual threat",4,5.4,1.33333333333333,1.91666666666667
"386",6,"Actual threat",6.125,5.8,1,6.41666666666667
"387",5,"Actual threat",5,6.2,1,3.95833333333333
"388",4,"Actual threat",3.625,5,2,3.08333333333333
"389",2,"Actual threat",2.75,4,3.5,1
"390",5,"Actual threat",7,7,2,2
"391",5,"Actual threat",2.625,4,1.66666666666667,2.6875
"392",8,"Actual threat",6.625,7,3,4.83333333333333
"393",5,"Actual threat",4.75,4.6,1,3.25
"394",2,"Actual threat",3.75,5.2,1,4.125
"395",2,"Actual threat",2,2.4,2,4.5
"396",1,"Actual threat",4.33333333333333,4.6,4,3.70833333333333
"397",2,"Actual threat",3.125,3.75,3.5,3.22222222222222
"398",4,"Actual threat",4.25,6,1.33333333333333,2.70833333333333
"399",5,"Actual threat",2.375,4.25,3.33333333333333,2.20833333333333
"400",5,"Actual threat",4.875,7,1.66666666666667,4.66666666666667
"401",1,"Actual threat",1.625,3.2,6,1.91666666666667
"402",2,"Actual threat",4.66666666666667,1.6,5.33333333333333,1.41666666666667
"403",2,"Actual threat",4.25,4.6,3.5,4.33333333333333
"404",2,"Actual threat",5.75,4.2,3.33333333333333,4.29166666666667
"405",6,"Actual threat",4,3.4,4,2.4375
"406",7,"Actual threat",5.875,6.2,2.33333333333333,4.58333333333333
"407",8,"Actual threat",6,6.2,2,4.54166666666667
"408",7,"Actual threat",7,6.8,1,5.91666666666667
"409",8,"Actual threat",5.41666666666667,5.25,4,3.75
"410",7,"Actual threat",6,6,3,4
"411",7,"Actual threat",5.875,5.6,5,2.33333333333333
"412",2,"Actual threat",4.25,5,5.66666666666667,1
"413",3,"Actual threat",5.33333333333333,7,3.66666666666667,2.25
"414",4,"Actual threat",1,4.2,4.33333333333333,3.66666666666667
"415",2,"Actual threat",1.5,5.4,3.5,1.58333333333333
"416",3,"Actual threat",3.125,4.2,4,2.66666666666667
"417",5,"Actual threat",1.75,3.6,2,3.5
"418",5,"Actual threat",5.25,5.8,1,1.16666666666667
"419",4,"Actual threat",3.5,3.2,3.5,1.58333333333333
"420",2,"Actual threat",4,5,4,3.375
